"","Station","Catalogue","Station.name","Height.ASL","Country","Nordklim.number","Lat.Long","X101","X101E","X111","X111E","X112","X112E","X113","X113E","X121","X121E","X122","X122E","X123","X123E","X401","X401E","X601","X601E","X602","X602E","X701","X701E","X801","X801E"
"1",1,1,"Hammerodde Fyr","11","DK",6193,"55 18 N  14 47 E",1890,"2001",1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,NA,NA,NA,NA
"2",1,2,"Vestervig","18","DK",21100,"56 46 N  08 19 E",1890,"2001",1890,2001,1890,2001,NA,1890,2001,1890,2001,1890,2000,1890,2001,1890,2001,1939,2001,1890,2000,NA,NA,NA
"3",1,3,"Nordby","5","DK",25140,"55 26 N  08 24 E",1890,"2001",1890,2001,1890,2001,1890,2001,1890,2001,1890,2000,1890,2001,1890,2001,1890,2001,1890,2000,NA,NA,NA,NA
"4",1,4,"Tranebjerg","11","DK",27080,"55 51 N  10 36 E",1890,"2001",1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1948,2001,1890,2000,NA,NA,NA,NA,NA,NA
"5",1,5,"Koebenhavn","9","DK",30380,"55 41 N  12 32 E",1890,"2001",1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2001,1890,2000,1890,2000,NA,NA,NA,NA,NA,NA
"6",1,1,"Maarianhamina","4","FIN",1,"60 07 N  19 54 E",1908,"2002",1908,2002,1908,2002,1908,2002,1908,2002,1908,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,2,"Helsinki","4","FIN",304,"60 10 N  24 57 E",1890,"2002",1882,2002,1882,2002,1882,2002,1882,2002,1882,2002,1882,2002,1890,2002,1890,2002,1882,2002,1937,2002,1890,2002
"8",1,3,"Turku","51","FIN",1101,"60 31 N  22 16 E",1890,"2002",1903,2002,1903,2002,1903,2002,1903,2002,1903,2002,1903,2002,1909,2002,1891,2002,1937,2002,1955,2002,NA,NA
"9",1,4,"Huittinen","60","FIN",1103,"61 10 N  22 47 E",1901,"1997",1901,1997,1901,1997,1901,1997,1901,1997,1901,1997,1894,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,5,"Tampere","85","FIN",1202,"61 28 N  23 45 E",1890,"1999",1902,1999,1902,1999,1902,1999,1902,1999,1902,1999,1902,1999,1890,1999,1891,1999,1950,1999,NA,NA,NA,NA
"11",1,6,"Hattula","88","FIN",1303,"61 04 N  24 14 E",1925,"2002",1925,2002,1925,2002,1925,2002,1925,2002,1925,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,7,"Heinola","100","FIN",1506,"61 13 N  26 03 E",1909,"2002",1909,2002,1909,2002,1909,2002,1909,2002,1909,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,8,"Virolahti","22","FIN",1601,"60 32 N  27 33 E",1894,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,9,"Lappeenranta","105","FIN",1701,"61 05 N  28 09 E",1890,"2002",1906,2002,1906,2002,1906,2002,1906,2002,1906,2002,1906,2002,1890,2002,1886,2002,1957,2002,1958,2000,NA,NA
"15",1,10,"Lavia","60","FIN",2104,"61 37 N  22 33 E",1903,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,11,"Virrat","128","FIN",2211,"61 13 N  23 50 E",1909,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,12,"Orivesi","89","FIN",2306,"61 33 N  24 32 E",1891,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,13,"Jyvaeskylae","137","FIN",2425,"62 12 N  25 43 E",1890,"1999",1902,1999,1902,1999,1902,1999,1902,1999,1902,1999,1902,1999,1890,1999,1891,1999,NA,NA,NA,NA,NA,NA
"19",1,14,"Vaasa","4","FIN",3001,"63 03 N  21 46 E",1908,"2002",1908,2002,1908,2002,1908,2002,1908,2002,1908,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,15,"Ylistaro","26","FIN",3101,"62 56 N  22 30 E",1928,"2002",1928,2002,1928,2002,1928,2002,1928,2002,1928,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,16,"Aehtaeri","157","FIN",3301,"62 32 N  24 13 E",1910,"2002",1910,2002,1910,2002,1910,2002,1910,2002,1910,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,17,"Kuopio","119","FIN",3602,"62 54 N  27 41 E",1890,"1999",1902,1998,1902,1998,1902,1998,1902,1998,1902,1998,1902,1998,1890,1998,1891,1998,1957,1998,NA,NA,NA,NA
"23",1,18,"Maaninka","88","FIN",3603,"63 09 N  27 19 E",1930,"2002",1930,2002,1930,2002,1930,2002,1930,2002,1930,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,19,"Joensuu","116","FIN",3801,"62 40 N  29 38 E",1933,"2002",1933,2002,1933,2002,1933,2002,1933,2002,1933,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
