JobID|User|estim|wait|run|
1490075|Heikkinen|18000|1|0|
342207|Virtanen|18300|0|0|
1516206|Nieminen|18000|1|0|
1377406|Virtanen|900|24|350|
1974408|Korhonen|10800|0|1|
370878|Koskinen|7500|216|263|
999054|Koskinen|255600|6280|65|
567777|Jarvinen|255600|29900|1|
373732|Koskinen|122400|898|869|
1608879|Korhonen|86400|2|678|
2014263|Korhonen|86400|2|110|
355010|Koskinen|18300|44|2302|
1166985|Hamalainen|1800|514|914|
519124|Virtanen|255600|19589|1544|
1375373|Makela
|900|1|422|
551185|Laine|255600|67057|5963|
1022519|Makinen|255600|22742|220|
534444|Makinen|255600|42066|429|
1966882|Koskinen|60|0|1|
554594|Laine|255600|1581|261|
1504856|Koskinen|252000|0|252021|
986144|Makela
|255600|26|2761|
997603|Laine|255600|5952|708|
1161936|Laine|259200|45|5|
512522|Virtanen|255600|14099|276|
1076192|Nieminen|7200|205|1|
1507727|Jarvinen|18000|1|0|
1553535|Virtanen|259200|12617|259200|
603616|Heikkinen|43200|32|134|
354904|Makela
|18300|22|1020|
349562|Makinen|18300|62|936|
1866754|Korhonen|14400|4|3|
1385123|Nieminen|14400|63|211|
1422807|Korhonen|10800|1|305|
1466623|Makela
|18000|2714|177|
1023945|Korhonen|255600|27324|881|
1050738|Jarvinen|255600|55512|1958|
1666599|Makela
|7200|1|0|
1597137|Virtanen|7200|1|219|
1087461|Heikkinen|7200|37|68|
1558022|Makela
|259200|0|13|
1459049|Jarvinen|18000|11|959|
1782015|Hamalainen|14400|42|732|
609107|Virtanen|3600|168|555|
1490745|Makinen|18000|1|0|
1127777|Jarvinen|1209600|195|2433|
1411471|Jarvinen|172800|728|24663|
2025877|Korhonen|86400|665|681|
1355779|Makela
|259200|1|92099|
1835028|Hamalainen|126000|0|7|
545802|Nieminen|255600|59247|83|
1683225|Makela
|7200|2|0|
992374|Hamalainen|255600|2354|971|
1465003|Makela
|18000|2|1|
1727692|Hamalainen|7200|219|199|
412153|Virtanen|7500|42|386|
606196|Korhonen|1800|1|8|
613716|Laine|3600|4417|769|
1765739|Jarvinen|10800|1|1326|
1863800|Laine|14400|12|0|
1728514|Korhonen|7200|532|69|
20019|Makela
|14400|699|13|
1652674|Korhonen|259200|0|101800|
1014779|Makela
|255600|17667|69|
1577373|Makela
|7200|1|1304|
1936497|Laine|7200|265|1259|
1603276|Laine|28800|1|9410|
929281|Nieminen|86400|452|2|
926337|Jarvinen|7200|3|2|
1751777|Virtanen|7200|1|158|
1580780|Korhonen|7200|2|0|
1839848|Laine|259200|0|8284|
1087587|Heikkinen|7200|37|68|
1999756|Nieminen|2100|2|2128|
1717998|Jarvinen|10800|0|1344|
1740984|Jarvinen|7200|1|0|
1482949|Hamalainen|18000|0|0|
2000797|Heikkinen|2100|249|2121|
514387|Makela
|255600|15717|16|
1765109|Korhonen|86400|3|55|
398837|Nieminen|5400|5316|3891|
1451571|Korhonen|18000|50|958|
1696379|Virtanen|172800|1|65432|
1000627|Koskinen|255600|7797|1026|
1958974|Makela
|14400|336|111|
451561|Nieminen|32100|68|9815|
