"","month","NordklimNumber","tempmean"
"1",1,304,-50.9469026548673
"2",2,304,-57.7787610619469
"3",3,304,-25.4513274336283
"4",4,304,28.5840707964602
"5",5,304,92.4070796460177
"6",6,304,143.814159292035
"7",7,304,173.194690265487
"8",8,304,158.16814159292
"9",9,304,110.778761061947
"10",10,304,59.4690265486726
"11",11,304,11.9734513274336
"12",12,304,-27.1150442477876
"13",1,1101,-52.1238938053097
"14",2,1101,-59.2477876106195
"15",3,1101,-26.5398230088496
"16",4,1101,30.0796460176991
"17",5,1101,94.0265486725664
"18",6,1101,142.044247787611
"19",7,1101,170.318584070796
"20",8,1101,153.194690265487
"21",9,1101,104.610619469027
"22",10,1101,53.3274336283186
"23",11,1101,6.45132743362832
"24",12,1101,-30.4690265486726
"25",1,1202,-71.1090909090909
"26",2,1202,-75.5727272727273
"27",3,1202,-35.8272727272727
"28",4,1202,24.7545454545455
"29",5,1202,91.1284403669725
"30",6,1202,141.963302752294
"31",7,1202,165.422018348624
"32",8,1202,146.550458715596
"33",9,1202,97.3394495412844
"34",10,1202,45.0733944954128
"35",11,1202,-3.73394495412844
"36",12,1202,-45.4678899082569
"37",1,1701,-85.1160714285714
"38",2,1701,-84.8303571428571
"39",3,1701,-42.6160714285714
"40",4,1701,22.6339285714286
"41",5,1701,92.0089285714286
"42",6,1701,143.410714285714
"43",7,1701,169.787610619469
"44",8,1701,149.734513274336
"45",9,1701,97.1327433628319
"46",10,1701,39.1517857142857
"47",11,1701,-12.4375
"48",12,1701,-56.3392857142857
"49",1,2425,-84.8636363636364
"50",2,2425,-86.6545454545455
"51",3,2425,-43.7454545454545
"52",4,2425,18.1545454545455
"53",5,2425,85.9090909090909
"54",6,2425,137.963636363636
"55",7,2425,161.669724770642
"56",8,2425,139.192660550459
"57",9,2425,89.1743119266055
"58",10,2425,35.8909090909091
"59",11,2425,-17.256880733945
"60",12,2425,-60.3727272727273
"61",1,3602,-94.8807339449541
"62",2,3602,-92.5688073394495
"63",3,3602,-44.3518518518519
"64",4,3602,14.1111111111111
"65",5,3602,81.8130841121495
"66",6,3602,137.841121495327
"67",7,3602,165.663551401869
"68",8,3602,141.96261682243
"69",9,3602,90.5555555555556
"70",10,3602,31.9166666666667
"71",11,3602,-23.7314814814815
"72",12,3602,-67.712962962963
"73",1,4601,-111.681415929204
"74",2,4601,-110.982300884956
"75",3,4601,-66.0619469026549
"76",4,4601,0.221238938053097
"77",5,4601,68.6814159292035
"78",6,4601,127.026548672566
"79",7,4601,156.734513274336
"80",8,4601,132.814159292035
"81",9,4601,79.0176991150443
"82",10,4601,19.7610619469027
"83",11,4601,-38.0353982300885
"84",12,4601,-87.3451327433628
"85",1,5404,-102.588785046729
"86",2,5404,-104.691588785047
"87",3,5404,-61.3551401869159
"88",4,5404,1.13084112149533
"89",5,5404,66.1588785046729
"90",6,5404,128.700934579439
"91",7,5404,159.046728971963
"92",8,5404,136.467289719626
"93",9,5404,83.5327102803738
"94",10,5404,22.4433962264151
"95",11,5404,-32.622641509434
"96",12,5404,-75.1603773584906
"97",1,6193,27
"98",2,6193,34
"99",3,6193,34
"100",4,6193,72
"101",5,6193,118
"102",6,6193,147
"103",7,6193,155
"104",8,6193,166
"105",9,6193,141
"106",10,6193,125
"107",11,6193,82
"108",12,6193,50
"109",1,6801,-129.351063829787
"110",2,6801,-126.446808510638
"111",3,6801,-84.3297872340426
"112",4,6801,-21.5212765957447
"113",5,6801,44.5957446808511
"114",6,6801,112.755319148936
"115",7,6801,142.8
"116",8,6801,117.863157894737
"117",9,6801,62.741935483871
"118",10,6801,-1.03157894736842
"119",11,6801,-59.6382978723404
"120",12,6801,-103.547368421053
"121",1,7501,-137.852631578947
"122",2,7501,-133.052631578947
"123",3,7501,-86.2526315789474
"124",4,7501,-21.5157894736842
"125",5,7501,46.5684210526316
"126",6,7501,112.494736842105
"127",7,7501,143.673684210526
"128",8,7501,115.315789473684
"129",9,7501,59.7157894736842
"130",10,7501,-6.51578947368421
"131",11,7501,-70.1578947368421
"132",12,7501,-114.547368421053
